1,500, -6,101, -8,557
1,550, -6,529, -8,550
1,600, -6,956, -8,481
1,650, -7,377, -8,345
1,700, -7,790, -8,141
1,750, -8,191, -7,865
1,800, -8,577, -7,516
1,850, -8,943, -7,091
1,900, -9,286, -6,589
1,950, -9,602, -6,009
2,000, -9,887, -5,349
2,050, -10,137, -4,609
2,100, -10,348, -3,790
2,150, -10,516, -2,891
2,200, -10,637, -1,915
2,250, -10,707, -0,861
2,300, -10,723, 0,269
2,350, -10,680, 1,471
2,400, -10,576, 2,744
2,450, -10,406, 4,083
2,500, -10,168, 5,487
2,550, -9,857, 6,950
2,600, -9,473, 8,468
2,650, -9,011, 10,036
2,700, -8,469, 11,648
2,750, -7,846, 13,300
2,800, -7,139, 14,985
2,850, -6,347, 16,696
2,900, -5,469, 18,427
2,950, -4,505, 20,170
3,000, -3,452, 21,918
3,050, -2,313, 23,662
3,100, -1,086, 25,396
3,150, 0,227, 27,111
3,200, 1,625, 28,797
3,250, 3,106, 30,447
3,300, 4,670, 32,053
3,350, 6,312, 33,604
3,400, 8,030, 35,092
3,450, 9,821, 36,508
3,500, 11,681, 37,843
3,550, 13,605, 39,088
3,600, 15,590, 40,235
3,650, 17,629, 41,274
3,700, 19,717, 42,198
3,750, 21,848, 42,997
3,800, 24,017, 43,664
3,850, 26,215, 44,191
3,900, 28,436, 44,570
3,950, 30,672, 44,795
4,000, 32,915, 44,858
4,050, 35,158, 44,754
4,100, 37,391, 44,476
4,150, 39,605, 44,019
4,200, 41,792, 43,378
4,250, 43,943, 42,550
4,300, 46,047, 41,530
4,350, 48,096, 40,315
4,400, 50,079, 38,904
4,450, 51,986, 37,294
4,500, 53,808, 35,485
4,550, 55,535, 33,476
4,600, 57,156, 31,268
4,650, 58,662, 28,863
4,700, 60,042, 26,262
4,750, 61,288, 23,468
4,800, 62,389, 20,485
4,850, 63,336, 17,317
4,900, 64,121, 13,970
4,950, 64,733, 10,450
5,000, 65,166, 6,763
5,050, 65,410, 2,918
5,100, 65,457, -1,078
5,150, 65,302, -5,214
5,200, 64,936, -9,482
5,250, 64,354, -13,869
5,300, 63,549, -18,365
5,350, 62,517, -22,958
5,400, 61,253, -27,634
5,450, 59,754, -32,381
5,500, 58,015, -37,183
5,550, 56,035, -42,027
5,600, 53,813, -46,896
5,650, 51,346, -51,776
5,700, 48,635, -56,651
5,750, 45,681, -61,503
5,800, 42,485, -66,315
5,850, 39,049, -71,071
5,900, 35,377, -75,754
5,950, 31,474, -80,344
6,000, 27,343, -84,825
6,050, 22,991, -89,178
6,100, 18,425, -93,387
6,150, 13,653, -97,432
6,200, 8,682, -101,296
6,250, 3,523, -104,961
6,300, -1,814, -108,410
6,350, -7,318, -111,627
6,400, -12,977, -114,593
6,450, -18,777, -117,293
6,500, -24,706, -119,711
