1,500, 0,997, 0,071
1,550, 1,000, 0,021
1,600, 1,000, -0,029
1,650, 0,997, -0,079
1,700, 0,992, -0,129
1,750, 0,984, -0,178
1,800, 0,974, -0,227
1,850, 0,961, -0,275
1,900, 0,946, -0,323
1,950, 0,929, -0,370
2,000, 0,909, -0,416
2,050, 0,887, -0,461
2,100, 0,863, -0,505
2,150, 0,837, -0,547
2,200, 0,808, -0,588
2,250, 0,778, -0,628
2,300, 0,746, -0,666
2,350, 0,711, -0,702
2,400, 0,675, -0,737
2,450, 0,638, -0,770
2,500, 0,598, -0,801
2,550, 0,558, -0,830
2,600, 0,516, -0,857
2,650, 0,472, -0,881
2,700, 0,427, -0,904
2,750, 0,382, -0,924
2,800, 0,335, -0,942
2,850, 0,287, -0,957
2,900, 0,239, -0,971
2,950, 0,190, -0,981
3,000, 0,141, -0,990
3,050, 0,091, -0,995
3,100, 0,042, -0,999
3,150, -0,008, -1,000
3,200, -0,058, -0,998
3,250, -0,108, -0,994
3,300, -0,158, -0,987
3,350, -0,207, -0,978
3,400, -0,256, -0,966
3,450, -0,304, -0,952
3,500, -0,351, -0,936
3,550, -0,397, -0,917
3,600, -0,443, -0,896
3,650, -0,487, -0,873
3,700, -0,530, -0,848
3,750, -0,572, -0,820
3,800, -0,612, -0,791
3,850, -0,651, -0,759
3,900, -0,688, -0,726
3,950, -0,723, -0,690
4,000, -0,757, -0,653
4,050, -0,789, -0,615
4,100, -0,818, -0,575
4,150, -0,846, -0,533
4,200, -0,872, -0,490
4,250, -0,895, -0,446
4,300, -0,916, -0,401
4,350, -0,935, -0,354
4,400, -0,952, -0,307
4,450, -0,966, -0,259
4,500, -0,978, -0,211
4,550, -0,987, -0,162
4,600, -0,994, -0,112
4,650, -0,998, -0,062
4,700, -1,000, -0,012
4,750, -0,999, 0,038
4,800, -0,996, 0,087
4,850, -0,991, 0,137
4,900, -0,982, 0,186
4,950, -0,972, 0,235
5,000, -0,959, 0,284
5,050, -0,944, 0,331
5,100, -0,926, 0,378
5,150, -0,906, 0,424
5,200, -0,883, 0,468
5,250, -0,859, 0,512
5,300, -0,832, 0,554
5,350, -0,804, 0,595
5,400, -0,773, 0,634
5,450, -0,740, 0,672
5,500, -0,706, 0,708
5,550, -0,669, 0,743
5,600, -0,631, 0,775
5,650, -0,592, 0,806
5,700, -0,551, 0,834
5,750, -0,508, 0,861
5,800, -0,465, 0,885
5,850, -0,420, 0,907
5,900, -0,374, 0,927
5,950, -0,327, 0,945
6,000, -0,279, 0,960
6,050, -0,231, 0,973
6,100, -0,182, 0,983
6,150, -0,133, 0,991
6,200, -0,083, 0,996
6,250, -0,033, 0,999
6,300, 0,017, 0,999
6,350, 0,067, 0,997
6,400, 0,117, 0,993
6,450, 0,166, 0,986
6,500, 0,215, 0,976
